id,username,is_impostor,keystroke_result,graphical_result,mouse_result,final_result,login_time_seconds,keystroke_time,graphical_time,mouse_time,login_attempt_number,backup_used,prompt_match,graphical_selected_animal,graphical_selected_colour,keystroke_avg_z,keystroke_max_z,keystroke_similarity,mouse_avg_z,mouse_max_z,mouse_similarity,FAR,FRR,TAR,TRR
28,fizza,,not logged in,logged in,logged in,not logged in,24.184,9.545,0.0,9.591,3,0,1,dog,red,0.406,0.47,0.711,0.432,0.942,0.698,,,,
27,fizza,,not logged in,logged in,not logged in,not logged in,19.315,8.557,0.0,5.902,2,0,1,dog,red,0.52,0.629,0.658,2.422,3.18,0.292,,,,
26,fizza,,not logged in,logged in,not logged in,not logged in,17.091,7.289,0.0,5.985,1,0,1,dog,red,0.469,0.564,0.681,2.353,3.489,0.298,,,,
25,fizza,,logged in,logged in,not logged in,logged in,30.213,16.684,0.0,8.235,2,0,1,dog,red,0.11,0.4,0.901,1.53,1.767,0.395,,,,
24,fizza,,not logged in,logged in,not logged in,not logged in,16.198,8.118,0.0,4.518,1,0,1,dog,red,0.557,0.597,0.642,3.366,4.709,0.229,,,,
23,fizza,,logged in,logged in,not logged in,logged in,22.768,12.468,0.0,5.646,1,0,1,dog,red,0.043,0.142,0.959,2.394,3.78,0.295,,,,
22,fizza,,logged in,logged in,not logged in,logged in,21.261,12.278,0.0,5.512,1,0,1,dog,red,0.16,0.211,0.862,2.753,3.755,0.266,,,,
21,fizza,,logged in,logged in,not logged in,logged in,22.84,11.157,0.0,6.355,1,0,1,dog,red,0.242,0.402,0.805,1.996,3.015,0.334,,,,
20,fizza,,logged in,logged in,logged in,logged in,25.611,9.924,0.0,11.015,1,0,1,dog,red,0.353,0.483,0.739,0.386,0.718,0.722,,,,
19,fizza,,logged in,logged in,not logged in,logged in,29.551,13.161,0.0,10.37,1,0,1,dog,red,0.148,0.263,0.871,1.256,1.745,0.443,,,,
18,fizza,,logged in,logged in,logged in,logged in,26.888,11.339,0.0,9.742,1,0,1,dog,red,0.111,0.412,0.9,0.762,1.329,0.568,,,,
17,fizza,,logged in,logged in,logged in,logged in,34.49,17.613,0.0,10.169,1,0,1,dog,red,0.079,0.212,0.927,0.649,0.864,0.606,,,,
16,fizza,,logged in,logged in,logged in,logged in,30.982,13.918,0.0,9.94,3,0,1,dog,red,0.066,0.231,0.938,0.371,0.685,0.729,,,,
15,fizza,,not logged in,logged in,logged in,not logged in,33.09,11.925,0.0,10.736,2,0,1,dog,red,0.296,0.723,0.772,0.666,1.264,0.6,,,,
14,fizza,,not logged in,logged in,logged in,not logged in,33.09,11.925,0.0,10.736,1,0,1,dog,red,0.296,0.723,0.772,0.666,1.264,0.6,,,,
13,fizza,,logged in,logged in,logged in,logged in,39.672,12.233,0.0,10.508,1,0,1,dog,red,0.256,0.37,0.796,0.523,1.104,0.657,,,,
12,dee1,,logged in,logged in,logged in,logged in,18.284,6.916,0.0,4.581,1,0,1,rabbit,pink,0.239,0.342,0.807,0.697,1.354,0.589,,,,
11,dee1,,logged in,logged in,logged in,logged in,20.913,10.033,0.0,3.995,1,0,1,rabbit,pink,0.068,0.092,0.936,0.754,1.26,0.57,,,,
10,dee1,,logged in,logged in,logged in,logged in,18.633,7.057,0.0,4.104,1,0,1,rabbit,pink,0.189,0.218,0.841,0.775,1.305,0.563,,,,
9,dee1,,logged in,logged in,not logged in,logged in,16.463,6.217,0.0,3.342,1,0,1,rabbit,pink,0.307,0.379,0.765,1.151,2.375,0.465,,,,
8,dee1,,logged in,logged in,logged in,logged in,20.997,6.619,0.0,3.663,1,0,1,rabbit,pink,0.301,0.338,0.768,0.775,1.381,0.563,,,,
7,dee1,,logged in,logged in,logged in,logged in,26.17,8.413,0.0,4.662,1,0,1,rabbit,pink,0.085,0.092,0.922,0.771,1.069,0.565,,,,
6,dee1,,logged in,logged in,logged in,logged in,20.03,6.775,0.0,3.635,1,0,1,rabbit,pink,0.193,0.247,0.838,0.867,1.61,0.536,,,,
5,dee1,,logged in,logged in,logged in,logged in,23.478,8.216,0.0,4.034,1,0,1,rabbit,pink,0.133,0.169,0.883,0.763,1.272,0.567,,,,
4,dee1,,logged in,logged in,logged in,logged in,24.26,7.83,0.0,4.986,1,0,1,rabbit,pink,0.169,0.286,0.855,0.97,1.236,0.508,,,,
3,dee,,not logged in,logged in,not logged in,not logged in,27.467,8.008,0.0,4.517,3,0,1,frog,pink,0.451,0.691,0.689,1.664,5.399,0.375,,,,
2,dee,,not logged in,logged in,not logged in,not logged in,45.742,0.0,0.0,5.011,2,0,1,frog,pink,2.969,3.819,0.252,1.171,2.796,0.461,,,,
1,dee,,not logged in,logged in,not logged in,not logged in,27.116,0.0,0.0,4.32,1,0,1,frog,pink,0.183,0.685,0.845,1.777,4.793,0.36,,,,
