id,username,is_impostor,keystroke_result,graphical_result,mouse_result,final_result,login_time_seconds,keystroke_time,graphical_time,mouse_time,login_attempt_number,backup_used,prompt_match,graphical_selected_animal,graphical_selected_colour,keystroke_avg_z,keystroke_max_z,keystroke_similarity,mouse_avg_z,mouse_max_z,mouse_similarity,FAR,FRR,TAR,TRR
37,fizza,1,not logged in,not logged in,not logged in,not logged in,15.403,0,0,4.048,3,0,1,,,0.867,2.216,0.536,3.534,4.185,0.221,,,,
36,fizza,1,not logged in,not logged in,not logged in,not logged in,18.608,6.359,0,4.014,2,0,1,,,0.49,0.53,0.671,3.767,5.818,0.21,,,,
31,fizza,1,not logged in,not logged in,not logged in,not logged in,19.63,11.31,0,3.567,3,0,1,,,0.348,0.761,0.742,3.647,5.632,0.215,,,,
30,fizza,1,not logged in,not logged in,not logged in,not logged in,19.34,9.47,0,4.23,2,0,1,,,0.411,0.552,0.709,3.244,4.976,0.236,,,,
29,fizza,1,not logged in,not logged in,not logged in,not logged in,17.346,8.155,0,4.029,1,0,1,,,0.54,0.688,0.649,3.648,4.909,0.215,,,,
43,fizza,1,not logged in,not logged in,not logged in,not logged in,17.287,9.438,0,4.738,3,0,1,,,1.263,3.51,0.442,3.196,4.106,0.238,,,,
27,fizza,1,not logged in,logged in,not logged in,not logged in,19.315,8.557,0,5.902,2,0,1,dog,red,0.52,0.629,0.658,2.422,3.18,0.292,,,,
26,fizza,1,not logged in,not logged in,not logged in,not logged in,17.091,7.289,0,5.985,1,0,1,,,0.469,0.564,0.681,2.353,3.489,0.298,,,,
25,fizza,1,logged in,not logged in,not logged in,logged in,30.213,16.684,0,8.235,2,0,1,,,0.11,0.4,0.901,1.53,1.767,0.395,,,,
24,fizza,1,not logged in,logged in,not logged in,not logged in,16.198,8.118,0,4.518,1,0,1,dog,red,0.557,0.597,0.642,3.366,4.709,0.229,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
22,fizza,0,logged in,logged in,not logged in,logged in,21.261,12.278,0,5.512,1,0,1,dog,red,0.16,0.211,0.862,2.753,3.755,0.266,,,,
21,fizza,0,logged in,logged in,not logged in,logged in,22.84,11.157,0,6.355,1,0,1,dog,red,0.242,0.402,0.805,1.996,3.015,0.334,,,,
20,fizza,0,logged in,logged in,logged in,logged in,25.611,9.924,0,11.015,1,0,1,dog,red,0.353,0.483,0.739,0.386,0.718,0.722,,,,
19,fizza,0,logged in,logged in,not logged in,logged in,29.551,13.161,0,10.37,1,0,1,dog,red,0.148,0.263,0.871,1.256,1.745,0.443,,,,
18,fizza,0,logged in,logged in,logged in,logged in,26.888,11.339,0,9.742,1,0,1,dog,red,0.111,0.412,0.9,0.762,1.329,0.568,,,,
17,fizza,0,logged in,logged in,logged in,logged in,34.49,17.613,0,10.169,1,0,1,dog,red,0.079,0.212,0.927,0.649,0.864,0.606,,,,
16,fizza,0,logged in,logged in,logged in,logged in,30.982,13.918,0,9.94,3,0,1,dog,red,0.066,0.231,0.938,0.371,0.685,0.729,,,,
15,fizza,0,not logged in,logged in,logged in,not logged in,33.09,11.925,0,10.736,2,0,1,dog,red,0.296,0.723,0.772,0.666,1.264,0.6,,,,
14,fizza,0,not logged in,logged in,logged in,not logged in,33.09,11.925,0,10.736,1,0,1,dog,red,0.296,0.723,0.772,0.666,1.264,0.6,,,,
13,fizza,0,logged in,logged in,logged in,logged in,39.672,12.233,0,10.508,1,0,1,dog,red,0.256,0.37,0.796,0.523,1.104,0.657,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
40,dee1,1,not logged in,not logged in,not logged in,not logged in,26.22,7.329,0,3.228,3,0,1,,,0.637,1.949,0.651,1.199,2.152,0.455,,,,
40,dee1,1,not logged in,not logged in,not logged in,not logged in,19.451,11.239,0,4.308,3,0,1,,,0.537,1.749,0.651,1.199,2.152,0.455,,,,
39,dee1,1,not logged in,not logged in,logged in,not logged in,18.836,9.035,0,3.937,2,0,1,,,0.913,3.33,0.523,0.76,1.144,0.568,,,,
38,dee1,1,not logged in,not logged in,logged in,not logged in,20.069,7.449,0,4.519,1,0,1,,,0.834,2.432,0.545,0.821,1.334,0.549,,,,
46,dee1,1,not logged in,not logged in,logged in,not logged in,20.85,13.572,0,3.928,3,0,1,,,0.736,2.335,0.576,0.885,1.556,0.531,,,,
45,dee1,1,not logged in,logged in,logged in,not logged in,16.581,8.631,0,4.773,2,0,1,rabbit,pink,1.248,4.584,0.445,0.273,0.535,0.786,,,,
44,dee1,1,not logged in,not logged in,not logged in,not logged in,13.506,7.204,0,3.203,1,0,1,,,0.536,1.488,0.651,1.213,2.054,0.452,,,,
