id,username,is_impostor,keystroke_result,graphical_result,mouse_result,final_result,login_time_seconds,keystroke_time,graphical_time,mouse_time,login_attempt_number,backup_used,prompt_match,graphical_selected_animal,graphical_selected_colour,keystroke_avg_z,keystroke_max_z,keystroke_similarity,mouse_avg_z,mouse_max_z,mouse_similarity,FAR,FRR,TAR,TRR
20,joshua,,logged in,not logged in,logged in,logged in,14.786,7.029,0.0,4.083,2,0,1,,,0.139,0.191,0.878,0.412,0.687,0.708,,,,
19,joshua,,not logged in,not logged in,logged in,not logged in,39.012,13.684,0.0,2.524,1,0,1,,,3.607,12.323,0.217,0.682,0.977,0.595,,,,
18,joshua,,not logged in,logged in,logged in,not logged in,17.713,10.676,0.0,2.78,3,0,1,dog,red,0.639,0.905,0.61,0.773,1.154,0.564,,,,
17,joshua,,not logged in,logged in,logged in,not logged in,17.23,9.882,0.0,3.313,2,0,1,dog,red,0.932,1.138,0.518,0.29,0.672,0.775,,,,
16,joshua,,not logged in,not logged in,logged in,not logged in,24.149,11.757,0.0,3.584,1,0,1,,,1.435,1.712,0.411,0.504,0.902,0.665,,,,
15,joshua,,logged in,not logged in,logged in,logged in,16.57,8.071,0.0,3.943,2,0,1,,,0.174,0.238,0.852,0.382,0.731,0.724,,,,
14,joshua,,not logged in,not logged in,not logged in,not logged in,18.062,10.343,0.0,4.071,1,0,1,,,0.585,0.638,0.631,0.862,2.166,0.537,,,,
13,joshua,,not logged in,not logged in,logged in,not logged in,19.912,10.503,0.0,4.35,3,0,1,,,0.924,2.158,0.52,0.851,1.738,0.54,,,,
12,joshua,,not logged in,logged in,not logged in,not logged in,22.936,14.99,0.0,4.402,2,0,1,dog,red,0.783,1.113,0.561,1.1,2.491,0.476,,,,
11,joshua,,not logged in,not logged in,not logged in,not logged in,27.111,15.082,0.0,4.695,1,0,1,,,1.264,1.547,0.442,1.188,2.506,0.457,,,,
10,joshua,,logged in,logged in,logged in,logged in,11.58,6.041,0.0,2.657,1,0,1,dog,red,0.265,0.322,0.791,0.559,0.945,0.641,,,,
9,joshua,,logged in,logged in,logged in,logged in,13.926,7.171,0.0,3.23,1,0,1,dog,red,0.159,0.206,0.863,0.678,0.988,0.596,,,,
8,joshua,,logged in,logged in,logged in,logged in,10.315,4.998,0.0,2.435,1,0,1,dog,red,0.373,0.507,0.728,0.597,1.056,0.626,,,,
7,joshua,,logged in,logged in,logged in,logged in,10.271,5.262,0.0,2.709,1,0,1,dog,red,0.287,0.367,0.777,0.616,1.021,0.619,,,,
6,joshua,,logged in,logged in,logged in,logged in,10.462,4.783,0.0,2.896,1,0,1,dog,red,0.337,0.382,0.748,0.558,1.006,0.642,,,,
5,joshua,,logged in,logged in,logged in,logged in,13.729,7.339,0.0,3.052,1,0,1,dog,red,0.136,0.308,0.88,0.655,1.009,0.604,,,,
4,joshua,,logged in,logged in,logged in,logged in,14.09,7.102,0.0,2.892,1,0,1,dog,red,0.129,0.42,0.886,0.577,1.022,0.634,,,,
3,joshua,,logged in,logged in,logged in,logged in,12.632,6.078,0.0,3.135,1,0,1,dog,red,0.179,0.314,0.848,0.531,1.016,0.653,,,,
2,joshua,,logged in,logged in,logged in,logged in,13.799,7.119,0.0,3.253,1,0,1,dog,red,0.228,0.334,0.815,0.572,0.938,0.636,,,,
1,joshua,,logged in,logged in,logged in,logged in,16.202,8.623,0.0,3.252,1,0,1,dog,red,0.144,0.234,0.874,0.703,0.999,0.587,,,,
