id,username,is_impostor,keystroke_result,graphical_result,mouse_result,final_result,login_time_seconds,keystroke_time,graphical_time,mouse_time,login_attempt_number,backup_used,prompt_match,graphical_selected_animal,graphical_selected_colour,keystroke_avg_z,keystroke_max_z,keystroke_similarity,mouse_avg_z,mouse_max_z,mouse_similarity,FAR,FRR,TAR,TRR
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
20,mara,1,not logged in,not logged in,logged in,not logged in,31.24,12.961,0,4.309,3,0,1,,,0.459,0.796,0.685,0.931,1.702,0.518,,,,
19,mara,1,not logged in,not logged in,not logged in,not logged in,23.501,13.093,0,3.789,2,0,1,,,0.552,1.441,0.644,1.857,4.865,0.35,,,,
18,mara,1,not logged in,not logged in,not logged in,not logged in,19.289,10.32,0,4.009,1,0,1,,,0.945,1.217,0.514,1.928,2.86,0.342,,,,
17,mara,0,logged in,logged in,logged in,logged in,29.411,16.693,0,4.905,1,0,1,bird,green,0.047,0.071,0.955,0.715,1.42,0.583,,,,
16,mara,0,logged in,logged in,logged in,logged in,27.339,14.901,0,4.964,2,0,1,bird,green,0.129,0.14,0.886,0.651,1.479,0.606,,,,
15,mara,0,logged in,not logged in,not logged in,not logged in,33.004,17.483,0,3.984,1,0,1,,,0.067,0.146,0.938,1.807,2.849,0.356,,,,
14,mara,0,logged in,logged in,not logged in,logged in,36.635,13.92,0,14.347,1,0,1,bird,green,0.229,0.276,0.814,1.507,2.926,0.399,,,,
13,mara,0,logged in,logged in,logged in,logged in,27.425,14.352,0,4.956,1,0,1,bird,green,0.132,0.279,0.883,0.695,1.667,0.59,,,,
12,mara,0,logged in,logged in,not logged in,logged in,29.254,15.306,0,4.894,1,0,1,bird,green,0.228,0.404,0.814,1.036,2.267,0.491,,,,
11,mara,0,logged in,logged in,not logged in,logged in,28.495,13.301,0,5.456,1,0,1,bird,green,0.036,0.096,0.965,1.824,3.347,0.354,,,,
10,mara,0,not logged in,logged in,not logged in,not logged in,20.888,9.129,0,3.252,3,0,1,bird,green,0.921,1.341,0.52,3.302,4.333,0.232,,,,
9,mara,0,not logged in,logged in,not logged in,not logged in,36.559,13.427,0,4.685,2,0,1,bird,green,0.678,0.895,0.596,0.887,2.548,0.53,,,,
8,mara,0,not logged in,logged in,not logged in,not logged in,46.78,26.292,0,4.181,1,0,1,bird,green,0.616,0.837,0.619,1.248,3.06,0.445,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
