id,username,is_impostor,keystroke_result,graphical_result,mouse_result,final_result,login_time_seconds,keystroke_time,graphical_time,mouse_time,login_attempt_number,backup_used,prompt_match,graphical_selected_animal,graphical_selected_colour,keystroke_avg_z,keystroke_max_z,keystroke_similarity,mouse_avg_z,mouse_max_z,mouse_similarity,FAR,FRR,TAR,TRR
7,joshua,1,not logged in,not logged in,not logged in,not logged in,27.755,16.495,7.211,4.049,3,0,1,,,1.382,3.049,0.381,3.288,7.036,0.233,,,,
6,joshua,1,not logged in,not logged in,not logged in,not logged in,26.655,11.781,10.46,4.414,2,0,1,,,1.089,1.217,0.496,4.326,7.78,0.12,,,,
5,joshua,1,not logged in,not logged in,not logged in,not logged in,45.673,28.931,3.144,13.598,1,0,1,,,2.89,3.374,0.183,1.308,1.716,0.433,,,,
31,joshua,1,logged in,not logged in,not logged in,not logged in,22.524,13.854,5.972,2.698,1,0,1,,,0.167,0.377,0.857,1.995,3.776,0.334,,,,
30,joshua,1,not logged in,logged in,not logged in,not logged in,25.149,13.139,9.518,2.492,3,0,1,dog,pink,1.13,1.294,0.469,1.17,2.313,0.461,,,,
29,joshua,1,not logged in,not logged in,not logged in,not logged in,18.163,11.719,3.802,2.642,2,0,1,,,1.068,1.212,0.484,1.308,1.716,0.433,,,,
28,joshua,1,not logged in,not logged in,not logged in,not logged in,26.362,14.358,7.601,4.403,1,0,1,,,0.965,1.262,0.509,3.388,6.161,0.228,,,,
7,joshua,1,not logged in,not logged in,not logged in,not logged in,29.763,16.495,9.219,4.049,3,0,1,,,1.622,2.049,0.381,3.288,7.036,0.233,,,,
6,joshua,1,not logged in,not logged in,not logged in,not logged in,26.722,11.781,10.527,4.414,2,0,1,,,1.016,1.517,0.496,4.636,8.173,0.177,,,,
5,joshua,1,not logged in,not logged in,not logged in,not logged in,62.673,28.931,20.144,13.598,1,0,1,,,2.65,3.374,0.274,3.101,8.775,0.244,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
27,joshua,0,logged in,logged in,logged in,logged in,15.824,8.595,4.498,2.731,1,0,1,dog,pink,0.124,0.208,0.89,0.48,0.795,0.676,,,,
26,joshua,0,logged in,logged in,logged in,logged in,15.165,7.336,5.267,2.562,1,0,1,dog,pink,0.15,0.157,0.87,0.542,1.181,0.649,,,,
25,joshua,0,logged in,logged in,logged in,logged in,18.416,9.078,6.616,2.722,1,0,1,dog,pink,0.135,0.305,0.881,0.947,1.451,0.514,,,,
