id,username,is_impostor,keystroke_result,graphical_result,mouse_result,final_result,login_time_seconds,keystroke_time,graphical_time,mouse_time,login_attempt_number,backup_used,prompt_match,graphical_selected_animal,graphical_selected_colour,keystroke_avg_z,keystroke_max_z,keystroke_similarity,mouse_avg_z,mouse_max_z,mouse_similarity,FAR,FRR,TAR,TRR
16,mara,1,not logged in,not logged in,logged in,not logged in,31.24,12.961,0,4.309,3,0,1,,,0.459,0.796,0.685,0.931,1.702,0.518,,,,
15,mara,1,not logged in,not logged in,not logged in,not logged in,23.501,13.093,0,3.789,2,0,1,,,0.552,1.441,0.644,1.857,4.865,0.35,,,,
14,mara,1,not logged in,not logged in,not logged in,not logged in,19.289,10.32,0,4.009,1,0,1,,,0.945,1.217,0.514,1.928,2.86,0.342,,,,
13,mara,0,logged in,logged in,logged in,logged in,29.411,16.693,0,4.905,1,0,1,bird,green,0.047,0.071,0.955,0.715,1.42,0.583,,,,
12,mara,0,logged in,logged in,logged in,logged in,27.339,14.901,0,4.964,2,0,1,bird,green,0.129,0.14,0.886,0.651,1.479,0.606,,,,
11,mara,0,logged in,logged in,logged in,logged in,27.425,14.352,0,4.956,1,0,1,bird,green,0.132,0.279,0.883,0.695,1.667,0.59,,,,
10,mara,0,logged in,logged in,not logged in,logged in,29.254,15.306,0,4.894,1,0,1,bird,green,0.228,0.404,0.814,1.036,2.267,0.491,,,,
9,mara,0,logged in,logged in,not logged in,logged in,28.495,13.301,0,5.456,1,0,1,bird,green,0.036,0.096,0.965,1.824,3.347,0.354,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
8,joshua,1,not logged in,not logged in,not logged in,not logged in,29.763,16.495,0,4.049,3,0,1,,,1.622,2.049,0.381,3.288,7.036,0.233,,,,
7,joshua,1,not logged in,not logged in,not logged in,not logged in,26.722,11.781,0,4.414,2,0,1,,,1.016,1.517,0.496,4.636,8.173,0.177,,,,
6,joshua,1,not logged in,not logged in,not logged in,not logged in,62.673,28.931,0,13.598,1,0,1,,,2.65,3.374,0.274,3.101,8.775,0.244,,,,
5,joshua,0,logged in,logged in,logged in,logged in,16.523,6.807,0,3.1,1,0,1,dog,pink,0.192,0.156,0.739,0.603,1.246,0.723,,,,
4,joshua,0,logged in,logged in,logged in,logged in,16.812,7.076,0,2.985,1,0,1,dog,pink,0.192,0.286,0.839,0.664,1.446,0.601,,,,
3,joshua,0,logged in,logged in,not logged in,logged in,17.598,7.393,0,2.502,1,0,1,dog,pink,0.154,0.202,0.867,1.204,3.265,0.454,,,,
2,joshua,0,logged in,logged in,not logged in,logged in,14.738,5.817,0,2.46,1,0,1,dog,pink,0.249,0.425,0.801,1.262,2.121,0.442,,,,
1,joshua,0,logged in,logged in,not logged in,logged in,14.641,5.585,0,2.593,1,0,1,dog,pink,0.35,0.41,0.741,0.883,1.931,0.531,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,should impostor selection be apart of the excel or not? ,,,,,,,,,,,,,,,,
