id,username,is_impostor,keystroke_result,graphical_result,mouse_result,final_result,login_time_seconds,keystroke_time,graphical_time,mouse_time,login_attempt_number,backup_used,prompt_match,graphical_selected_animal,graphical_selected_colour,keystroke_avg_z,keystroke_max_z,keystroke_similarity,mouse_avg_z,mouse_max_z,mouse_similarity,FAR,FRR,TAR,TRR
23,mihai,1,not logged in,logged in,not logged in,not logged in,15.609,6.166,0,3.397,3,0,1,frog,blue,0.662,0.724,0.602,2.543,5.666,0.282,,,,
22,mihai,1,not logged in,logged in,not logged in,not logged in,14.137,8.46,0,2.346,2,0,1,frog,blue,0.584,0.631,0.631,4.242,8.07,0.191,,,,
21,mihai,1,not logged in,not logged in,not logged in,not logged in,16.305,9.502,0,3.761,1,0,1,,,1.977,6.071,0.336,1.785,4.239,0.359,,,,
20,mihai,1,not logged in,not logged in,not logged in,not logged in,16.053,7.6,0,3.228,2,0,1,,,0.586,0.651,0.63,2.546,3.982,0.282,,,,
19,mihai,1,not logged in,not logged in,not logged in,not logged in,21.203,10.153,0,3.7,1,0,1,,,0.604,1.091,0.623,2.128,3.861,0.32,,,,
18,mihai,1,not logged in,logged in,not logged in,not logged in,20.024,9.351,0,3.588,3,0,1,frog,blue,0.632,1.157,0.613,2.517,4.677,0.284,,,,
17,mihai,1,not logged in,not logged in,not logged in,not logged in,20.674,11.236,0,2.918,2,0,1,,,0.529,0.77,0.654,3.453,6.661,0.225,,,,
16,mihai,1,not logged in,not logged in,not logged in,not logged in,23.197,15.236,0,2.538,1,0,1,,,0.433,1.111,0.698,3.697,6.084,0.213,,,,
15,mihai,1,logged in,logged in,not logged in,logged in,21.887,10.685,0,3.207,3,0,1,frog,blue,0.376,0.415,0.727,2.937,6.183,0.254,,,,
14,mihai,1,not logged in,not logged in,not logged in,not logged in,23.218,9.805,0,3.276,2,0,1,,,0.467,0.671,0.681,2.669,4.534,0.273,,,,
13,mihai,1,not logged in,logged in,not logged in,not logged in,17.031,8.173,0,3.203,1,0,1,frog,blue,0.563,0.717,0.64,2.883,5.031,0.258,,,,
12,mihai,0,logged in,logged in,logged in,logged in,27.554,12.241,0,5.275,1,0,1,frog,blue,0.26,0.337,0.794,0.607,0.972,0.622,,,,
11,mihai,0,logged in,logged in,not logged in,o,41.451,12.542,0,19.92,1,0,1,frog,blue,0.269,0.311,0.788,2.072,3.994,0.326,,,,
10,mihai,0,logged in,logged in,not logged in,logged in,29.13,17.188,0,4.845,1,0,1,frog,blue,0.046,0.073,0.956,1.201,2.172,0.454,,,,
9,mihai,0,logged in,logged in,not logged in,logged in,26.332,13.272,0,4.253,1,0,1,frog,blue,0.282,0.422,0.78,2.452,4.517,0.29,,,,
8,mihai,0,logged in,logged in,not logged in,logged in,37.17,23.467,0,4.264,1,0,1,frog,blue,0.157,0.391,0.865,1.821,3.161,0.354,,,,
7,mihai,0,logged in,logged in,not logged in,logged in,28.869,12.697,0,4.775,1,0,1,frog,blue,0.322,0.385,0.756,1.285,1.942,0.438,,,,
6,mihai,0,logged in,logged in,not logged in,logged in,29.194,14.3,0,3.656,2,0,1,frog,blue,0.219,0.295,0.82,2.147,4.775,0.318,,,,
5,mihai,0,not logged in,logged in,not logged in,not logged in,27.609,14.491,0,4.566,1,0,1,frog,blue,0.35,0.705,0.74,1.005,1.897,0.499,,,,
4,mihai,0,logged in,logged in,not logged in,logged in,24.248,11.098,0,5.897,2,0,1,frog,blue,0.248,0.29,0.801,1.272,2.75,0.44,,,,
3,mihai,0,not logged in,logged in,logged in,not logged in,35.973,20.761,0,4.668,1,0,1,frog,blue,9.179,35.81,0.098,0.495,0.936,0.669,,,,
2,mihai,0,logged in,logged in,logged in,logged in,33.48,12.203,0,5.685,1,0,1,frog,blue,0.177,0.225,0.85,1.056,1.603,0.486,,,,
1,mihai,0,logged in,logged in,not logged in,logged in,59.775,20.261,0,5.833,1,0,1,frog,blue,0.258,0.574,0.795,1.582,3.31,0.387,,,,
