id,username,is_impostor,keystroke_result,graphical_result,mouse_result,final_result,login_time_seconds,keystroke_time,graphical_time,mouse_time,login_attempt_number,backup_used,prompt_match,graphical_selected_animal,graphical_selected_colour,keystroke_avg_z,keystroke_max_z,keystroke_similarity,mouse_avg_z,mouse_max_z,mouse_similarity,FAR,FRR,TAR,TRR
14,natashaar,,logged in,logged in,logged in,logged in,13.669,5.31,0.0,4.157,1,0,1,rabbit,pink,0.203,0.244,0.831,0.867,1.413,0.536,,,,
13,natashaar,,logged in,logged in,logged in,logged in,15.838,7.011,0.0,4.681,1,0,1,rabbit,pink,0.232,0.309,0.812,0.775,1.418,0.563,,,,
12,natashaar,,logged in,logged in,not logged in,logged in,13.527,5.064,0.0,4.356,1,0,1,rabbit,pink,0.333,0.441,0.75,1.467,3.071,0.405,,,,
11,natashaar,,logged in,logged in,not logged in,logged in,14.515,4.68,0.0,4.585,1,0,1,rabbit,pink,0.349,0.455,0.741,1.064,1.843,0.484,,,,
10,natashaar,,logged in,logged in,logged in,logged in,14.665,5.988,0.0,4.07,1,0,1,rabbit,pink,0.316,0.372,0.76,0.718,1.649,0.582,,,,
9,natashaar,,logged in,logged in,logged in,logged in,12.345,4.486,0.0,3.94,1,0,1,rabbit,pink,0.316,0.455,0.76,0.736,1.358,0.576,,,,
8,natashaar,,logged in,logged in,not logged in,logged in,16.442,6.701,0.0,4.319,1,0,1,rabbit,pink,0.149,0.414,0.87,1.348,2.475,0.426,,,,
7,natashaar,,logged in,logged in,logged in,logged in,14.947,6.6,0.0,4.056,1,0,1,rabbit,pink,0.224,0.343,0.817,0.546,1.032,0.647,,,,
6,natashaar,,logged in,logged in,not logged in,logged in,11.788,4.343,0.0,3.67,1,0,1,rabbit,pink,0.26,0.356,0.793,1.318,3.085,0.431,,,,
5,natashaar,,logged in,logged in,logged in,logged in,12.724,4.228,0.0,4.308,1,0,1,rabbit,pink,0.356,0.389,0.737,0.711,1.22,0.584,,,,
4,natashaar,,logged in,logged in,not logged in,logged in,18.26,0.0,0.0,4.174,1,0,1,rabbit,pink,0.176,0.237,0.85,1.097,2.319,0.477,,,,
3,natashaar,,logged in,logged in,logged in,logged in,24.353,9.247,0.0,3.959,1,0,1,rabbit,pink,0.189,0.278,0.841,0.776,1.108,0.563,,,,
2,test5,,logged in,logged in,not logged in,logged in,20.331,8.279,0.0,2.975,1,0,1,rabbit,yellow,0.101,0.119,0.908,1.136,2.067,0.468,,,,
1,joshua,,logged in,logged in,not logged in,logged in,46.809,5.653,0.0,4.952,1,0,1,snake,orange,0.308,0.352,0.764,1.827,3.244,0.354,,,,
