id,username,is_impostor,keystroke_result,graphical_result,mouse_result,final_result,login_time_seconds,keystroke_time,graphical_time,mouse_time,login_attempt_number,backup_used,prompt_match,graphical_selected_animal,graphical_selected_colour,keystroke_avg_z,keystroke_max_z,keystroke_similarity,mouse_avg_z,mouse_max_z,mouse_similarity,FAR,FRR,TAR,TRR
37,test5,,not logged in,not logged in,not logged in,not logged in,18.163,7.159,0.0,2.283,2,0,1,,,0.496,1.063,0.669,1.407,1.614,0.415,,,,
36,test5,,not logged in,logged in,not logged in,not logged in,17.991,6.149,0.0,3.88,1,0,1,rabbit,yellow,0.598,1.419,0.626,1.613,5.147,0.383,,,,
35,joshua,,not logged in,logged in,not logged in,not logged in,13.069,6.52,0.0,3.102,3,0,1,snake,orange,0.63,1.52,0.614,5.191,8.017,0.162,,,,
34,joshua,,not logged in,logged in,not logged in,not logged in,18.709,10.053,0.0,3.251,2,0,1,snake,orange,0.277,0.788,0.783,4.013,6.69,0.199,,,,
33,joshua,,not logged in,logged in,not logged in,not logged in,18.687,9.78,0.0,3.626,1,0,1,snake,orange,0.481,1.391,0.675,6.566,12.24,0.132,,,,
32,joshua,,not logged in,logged in,not logged in,not logged in,12.862,5.972,0.0,3.072,3,0,1,snake,orange,0.83,2.625,0.547,4.146,6.102,0.194,,,,
31,joshua,,not logged in,logged in,not logged in,not logged in,14.529,6.136,0.0,3.406,2,0,1,snake,orange,0.599,1.903,0.625,4.229,6.51,0.191,,,,
30,joshua,,not logged in,logged in,not logged in,not logged in,13.271,5.828,0.0,2.799,1,0,1,snake,orange,0.571,1.715,0.636,5.161,7.566,0.162,,,,
29,joshua,,not logged in,logged in,not logged in,not logged in,15.439,7.446,0.0,3.092,3,0,1,snake,orange,0.445,1.178,0.692,4.26,6.654,0.19,,,,
28,joshua,,not logged in,logged in,not logged in,not logged in,15.432,7.725,0.0,3.285,2,0,1,snake,orange,0.528,1.306,0.654,3.343,6.144,0.23,,,,
27,joshua,,not logged in,logged in,not logged in,not logged in,16.893,8.71,0.0,3.329,1,0,1,snake,orange,0.568,1.418,0.638,3.941,7.547,0.202,,,,
26,natashaar,,logged in,not logged in,not logged in,not logged in,12.259,6.393,0.0,2.057,1,0,1,,,0.1,0.168,0.909,3.728,5.52,0.212,,,,
25,natashaar,,logged in,not logged in,not logged in,not logged in,15.136,6.468,0.0,3.054,3,0,1,,,0.139,0.176,0.878,2.127,3.363,0.32,,,,
24,natashaar,,logged in,not logged in,not logged in,not logged in,16.204,7.726,0.0,3.305,2,0,1,,,0.384,0.526,0.722,3.065,6.365,0.246,,,,
23,natashaar,,logged in,not logged in,not logged in,not logged in,17.304,7.611,0.0,2.713,1,0,1,,,0.221,0.297,0.819,2.621,4.172,0.276,,,,
22,natashaar,,logged in,logged in,logged in,logged in,13.926,5.831,0.0,3.447,1,0,1,rabbit,pink,0.173,0.438,0.852,1.01,1.525,0.498,,,,
21,natashaar,,logged in,not logged in,not logged in,not logged in,14.421,5.016,0.0,3.107,3,0,1,,,0.157,0.383,0.864,1.974,2.85,0.336,,,,
20,natashaar,,logged in,not logged in,not logged in,not logged in,15.779,5.798,0.0,2.862,2,0,1,,,0.161,0.215,0.862,2.434,3.946,0.291,,,,
