id,username,is_impostor,keystroke_result,graphical_result,mouse_result,final_result,login_time_seconds,keystroke_time,graphical_time,mouse_time,login_attempt_number,backup_used,prompt_match,graphical_selected_animal,graphical_selected_colour,keystroke_avg_z,keystroke_max_z,keystroke_similarity,mouse_avg_z,mouse_max_z,mouse_similarity,FAR,FRR,TAR,TRR
28,natashaar,1,not logged in,not logged in,not logged in,not logged in,14.017,7.169,0,3.519,1,0,1,,,0.262,0.914,0.793,1.281,2.456,0.438,,,,
27,natashaar,1,not logged in,logged in,not logged in,not logged in,14.037,7.488,0,3.547,3,0,1,rabbit,pink,0.492,1.117,0.67,1.833,3.527,0.353,,,,
26,natashaar,1,not logged in,not logged in,logged in,not logged in,20.271,11.033,0,4.004,2,0,1,,,1.491,2.083,0.402,0.829,1.259,0.547,,,,
25,natashaar,1,not logged in,not logged in,not logged in,not logged in,15.732,8.863,0,3.815,1,0,1,,,0.575,1.373,0.635,1.418,1.76,0.414,,,,
24,natashaar,1,not logged in,not logged in,not logged in,not logged in,16.044,6.34,0,5.214,3,0,1,,,0.247,0.772,0.802,1.01,2.674,0.498,,,,
23,natashaar,1,not logged in,not logged in,not logged in,not logged in,15.313,7.721,0,3.247,2,0,1,,,0.472,1.021,0.679,1.334,2.415,0.428,,,,
22,natashaar,1,not logged in,not logged in,not logged in,not logged in,16.689,7.258,0,3.369,1,0,1,,,0.683,1.286,0.594,1.071,2.956,0.483,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
20,natashaar,1,not logged in,not logged in,not logged in,not logged in,13.841,6.495,0,3.314,3,0,1,,,0.508,1.406,0.663,0.927,1.931,0.519,,,,
19,natashaar,1,not logged in,not logged in,not logged in,not logged in,13.227,6.43,0,2.762,2,0,1,,,0.543,1.633,0.648,1.985,4.359,0.335,,,,
18,natashaar,1,not logged in,not logged in,not logged in,not logged in,15.5,7.532,0,3.994,1,0,1,,,0.782,1.893,0.561,0.828,2.281,0.547,,,,
17,natashaar,1,logged in,not logged in,not logged in,not logged in,15.95,5.732,0,3.344,1,0,1,,,0.233,0.481,0.811,1.341,2.465,0.427,,,,
16,natashaar,1,logged in,not logged in,logged in,logged in,31.667,7.491,0,3.591,1,0,1,,,0.318,0.511,0.759,0.701,1.159,0.588,,,,
15,natashaar,1,logged in,not logged in,not logged in,not logged in,17.848,6.888,0,3.008,3,0,1,,,0.073,0.171,0.932,1.153,4.165,0.464,,,,
14,natashaar,1,not logged in,not logged in,not logged in,not logged in,19.055,7.962,0,3.012,2,0,1,,,0.435,0.851,0.697,2.159,2.962,0.317,,,,
13,natashaar,1,not logged in,logged in,not logged in,not logged in,27.678,8.011,0,3.186,1,0,1,rabbit,pink,0.439,0.648,0.695,1.412,2.248,0.415,,,,
12,natashaar,1,logged in,logged in,logged in,logged in,13.669,5.31,0,4.157,1,0,1,rabbit,pink,0.203,0.244,0.831,0.867,1.413,0.536,,,,
11,natashaar,1,logged in,logged in,logged in,logged in,15.838,7.011,0,4.681,1,0,1,rabbit,pink,0.232,0.309,0.812,0.775,1.418,0.563,,,,
10,natashaar,0,logged in,logged in,not logged in,logged in,13.527,5.064,0,4.356,1,0,1,rabbit,pink,0.333,0.441,0.75,1.467,3.071,0.405,,,,
9,natashaar,0,logged in,logged in,not logged in,logged in,14.515,4.68,0,4.585,1,0,1,rabbit,pink,0.349,0.455,0.741,1.064,1.843,0.484,,,,
8,natashaar,0,logged in,logged in,logged in,logged in,14.665,5.988,0,4.07,1,0,1,rabbit,pink,0.316,0.372,0.76,0.718,1.649,0.582,,,,
7,natashaar,0,logged in,logged in,logged in,logged in,12.345,4.486,0,3.94,1,0,1,rabbit,pink,0.316,0.455,0.76,0.736,1.358,0.576,,,,
6,natashaar,0,logged in,logged in,not logged in,logged in,16.442,6.701,0,4.319,1,0,1,rabbit,pink,0.149,0.414,0.87,1.348,2.475,0.426,,,,
5,natashaar,0,logged in,logged in,logged in,logged in,14.947,6.6,0,4.056,1,0,1,rabbit,pink,0.224,0.343,0.817,0.546,1.032,0.647,,,,
4,natashaar,0,logged in,logged in,not logged in,logged in,11.788,4.343,0,3.67,1,0,1,rabbit,pink,0.26,0.356,0.793,1.318,3.085,0.431,,,,
3,natashaar,0,logged in,logged in,logged in,logged in,12.724,4.228,0,4.308,1,0,1,rabbit,pink,0.356,0.389,0.737,0.711,1.22,0.584,,,,
2,natashaar,0,logged in,logged in,not logged in,logged in,18.26,0,0,4.174,1,0,1,rabbit,pink,0.176,0.237,0.85,1.097,2.319,0.477,,,,
1,natashaar,0,logged in,logged in,logged in,logged in,24.353,9.247,0,3.959,1,0,1,rabbit,pink,0.189,0.278,0.841,0.776,1.108,0.563,,,,
